Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Nigeria,,,,,,,,,,,,,,,195.4,191,186.8,182.6,178.2,173.7,168.9,164.1,159.2,154.1,149.2,144.4,139.9,135.8,132.2,129.3,127,125.4,124.4,123.9,123.9,124.3,124.9,125.4,125.8,126,125.9,125.8,125.5,125.1,124.4,123.4,121.9,119.9,117.5,114.8,112,109,105.9,102.9,99.8,96.6,93.4,90.3,87.3,84.3,81.5,78.8,76.2,73.8,71.5,69.4
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,10.2,10.7,11.3,11.9,12.5,13.2,13.9,14.6,15.4,16.1,16.9,17.8,18.8,19.7,20.7,21.6,22.5,23,23.3,23.3,23.2,22.9,22.5,22.1,21.6,21.1,20.5,20,19.6
Norway,26.9,25.2,23.7,22.5,21.7,21,20.5,20,19.5,19,18.4,18,17.5,17.1,16.6,16,15.4,14.8,14.2,13.7,13.1,12.7,12.2,11.6,11,10.5,9.9,9.3,8.8,8.4,8.2,8,8,8.1,8.2,8.3,8.3,8.2,7.9,7.5,7,6.4,5.8,5.3,4.9,4.6,4.4,4.2,4.1,4,4,3.8,3.6,3.5,3.4,3.2,3.1,3,2.9,2.7,2.6,2.5,2.3,2.3,2.2,2
Oman,,,,,,,,,,,,,,218.7,207.9,197.6,187.8,178.5,169.3,160.4,151.8,143.9,136.1,128.6,121.2,114.2,107.1,100.1,92.9,86.1,79.4,72.8,66.6,60.7,55.3,50.4,45.8,41.8,38.2,35,32,29.3,26.8,24.5,22.5,20.7,19.2,17.7,16.4,15.3,14.3,13.3,12.5,11.9,11.4,10.9,10.6,10.4,10.2,10.1,10,10,10,10,10,9.9
Pakistan,,286.7,273.2,260.2,248,236.8,226.3,216.6,207.7,199.5,192,184.8,178,171.7,165.8,160.5,155.7,151.5,147.7,144.3,141.1,138.3,135.7,133.4,131.2,129.4,127.7,126.1,124.7,123.4,122.1,120.7,119.4,117.9,116.4,114.8,113.1,111.4,109.6,107.8,106.1,104.3,102.5,100.7,98.9,97.1,95.2,93.3,91.4,89.5,87.7,86,84.4,82.9,81.4,80,78.7,77.4,76.1,74.8,73.5,72.1,70.6,69.1,67.4,65.8
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,34.3,33.7,33,32.3,31.7,31,30.2,29.4,28.7,27.8,27,26.2,25.3,24.4,23.7,22.9,22,21.3,20.7,20.1,19.5,18.8,18.2,17.6,17.2,16.6,16.2,15.7,15.1,14.7,14.2
Panama,,84.1,81.9,79.8,77.7,75.7,73.8,72,70.3,68.6,66.9,65.3,63.6,61.9,60.4,59,57.6,56.2,54.7,53.2,51.4,49.5,47.4,45.4,43.5,41.8,40.3,39,37.9,36.8,35.7,34.6,33.4,32.3,31.1,30.1,29.1,28.1,27.2,26.4,25.7,25.1,24.6,24.2,23.8,23.5,23.3,23,22.7,22.3,21.9,21.4,20.9,20.4,19.9,19.4,19,18.5,18,17.5,17,16.5,16,15.5,15.1,14.6
Papua New Guinea,,,,,,155.6,151,146.6,142.5,138.5,134.6,130.7,126.9,123.2,119.6,116.1,112.7,109.5,106.3,103.1,100.1,97.1,94.4,91.7,89.2,86.9,84.6,82.5,80.6,78.8,77.1,75.5,74,72.6,71.3,70.2,69.1,68.1,67.1,66.2,65.3,64.4,63.4,62.6,61.9,61.2,60.5,59.9,59.3,58.8,58.3,57.8,57.3,56.7,56.2,55.6,54.7,53.8,52.7,51.6,50.3,49.2,48,47,45.7,44.5
Paraguay,,,,,,,65.6,64.8,64,63.3,62.6,62,61.4,60.9,60.5,60,59.6,59.3,58.9,58.4,58,57.4,56.8,56.1,55.3,54.5,53.6,52.6,51.6,50.5,49.4,48.3,47,45.7,44.4,43.2,41.9,40.7,39.4,38.3,37.1,35.9,34.8,33.8,32.8,31.8,30.9,30.1,29.3,28.5,27.7,26.9,26.1,25.3,24.6,23.8,23.1,22.4,21.7,21,20.4,19.8,19.2,18.6,18.1,17.5
Peru,,,174.6,168.1,162,156.2,151.2,146.6,142.7,139.2,135.9,132.6,129.1,125.4,121.8,118.2,114.8,111.6,108.7,106,103.4,100.9,98.3,95.8,93.3,91,88.9,87,85.5,83.9,82.4,80.7,78.7,76.3,73.7,70.7,67.6,64.6,61.7,58.9,56.3,53.7,51,48.2,45.4,42.5,39.7,36.9,34.3,31.8,29.6,27.6,25.7,24.1,22.6,21.3,20.1,19,18,17.1,16.3,15.6,14.9,14.2,13.6,13.1
Philippines,,,,87.5,84.3,81.1,78.2,75.3,72.6,70.1,67.9,65.9,64.2,62.7,61.4,60.2,59.1,58,57,56.1,55.4,54.9,54.7,54.5,54.4,54.4,54.3,54.2,54,53.7,53.2,52.8,52.3,51.7,50.9,49.8,48.4,46.7,44.8,42.8,40.8,39,37.3,35.9,34.6,33.5,32.6,31.8,31.1,30.5,29.9,29.4,28.9,28.4,27.9,27.4,26.9,26.4,25.9,25.4,24.9,24.4,23.9,23.3,22.8,22.2
Poland,,,,,,,,,75.3,65,57.8,53,49.6,46.8,43.9,40.8,37.9,35.7,34.4,33.4,32.2,30.6,28.8,26.9,25.4,24.5,23.9,23.3,22.5,21.7,21,20.5,20,19.3,18.6,17.8,17.1,16.6,16.1,15.7,15.1,14.7,14.3,13.9,13.5,12.6,11.6,10.4,9.4,8.6,8.1,7.6,7.3,7,6.7,6.6,6.3,6,5.8,5.3,5,4.7,4.6,4.5,4.5,4.5
Portugal,,,,,90.3,89,87.8,87,86.3,85.7,84.6,82.3,78.7,74.4,70.1,66.4,63.6,61.7,60.2,58.1,55.4,51.8,47.6,43.3,39.4,36,32.7,29.5,26.8,24.6,22.8,21.3,19.9,18.6,17.6,16.5,15.5,14.5,13.5,12.5,11.5,10.6,9.7,8.8,8.1,7.4,7,6.6,6.3,5.9,5.5,5.2,4.7,4.3,4,3.7,3.5,3.3,3.3,3.2,3.1,3.1,3.1,3.1,3,3
Qatar,,,,,,,,,,,,,,,,,,,,53.5,50.4,47.5,44.8,42.2,39.9,37.7,35.8,34,32.4,31,29.7,28.4,27.2,26,24.8,23.7,22.5,21.3,20.1,18.9,17.8,16.7,15.6,14.7,13.9,13.2,12.5,12,11.5,11.1,10.6,10.2,9.8,9.5,9.2,8.9,8.6,8.4,8.1,7.9,7.7,7.5,7.3,7.2,7,6.8
Republic of Korea,,222,186.7,159.1,137.7,121.2,108.7,98.8,91.2,85.1,80.2,76.1,72.4,68.8,65.3,61.6,57.8,54,49.9,45.7,41.4,37.3,33.3,29.5,26,22.8,19.9,17.4,15.4,13.7,12.3,11.3,10.5,9.8,9.2,8.5,7.9,7.4,6.9,6.5,6.1,5.8,5.5,5.2,5,4.7,4.5,4.5,4.7,4.9,5.2,5.5,5.6,5.4,5.2,4.8,4.5,4.1,3.9,3.7,3.5,3.4,3.3,3.2,3,2.9
Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,49.7,48.5,47.3,46.1,44.9,43.8,42.6,41.6,40.6,39.7,38.7,37.4,36,34.5,32.9,31.4,29.9,28.7,27.8,27.3,27.5,28.2,29.2,30.2,31,31.3,30.8,29.8,28.1,26,23.7,21.5,19.5,18,16.9,16,15.5,15.2,14.9,14.7,14.5,14.3,14.1,13.9,13.6
Romania,,,,,,,,,,,,,,,,,,,64.1,60.9,57.2,53.4,50.1,47.3,44.8,42.8,41,39.3,37.8,36.3,34.9,33.6,32.5,31.8,31.6,31.8,32.2,32.6,32.6,32,31,30.1,29.1,28.5,27.9,27.3,26.7,26,25,24.2,23.2,22.4,21.6,20.6,19.5,18.2,16.7,15.3,14,13,12.1,11.5,10.9,10.5,10.1,9.7
Russian Federation,,,,,,,,,,,,,,,,,,,,,35.4,34.1,32.9,31.8,30.8,29.9,29.2,28.7,28.2,27.8,27.3,26.9,26.5,26,25.6,25,24.3,23.5,22.8,22.2,21.9,21.9,22,22.1,22.2,22.2,22,21.6,21.1,20.5,19.7,18.8,17.7,16.6,15.4,14.4,13.3,12.4,11.6,10.9,10.3,9.8,9.3,8.9,8.5,8.2
Rwanda,,,,,,,145.4,140.5,135.6,131.2,127.9,125.3,123.4,122.4,122,122.2,123,124,125.5,127.3,129.4,131.5,134.1,137.3,141.1,144.8,147.5,148,144.9,138,129.1,120,111.8,105.3,100.9,97.8,95.1,93.1,91.9,91.8,93.2,96.3,101.3,109,132.3,129.6,120.3,121.7,121.4,115.2,109.2,102.3,94.1,86,77.7,70.2,63.1,56.8,51.5,47.3,43.8,40,37.1,34.7,32.7,31.1
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,57.5,55.6,53.8,52.1,50.5,49.2,47.8,46.6,45.2,43.6,41.9,39.8,37.7,35.4,33.2,31.1,29.2,27.4,25.8,24.4,23.1,22,21,20.1,19.3,18.5,17.8,17,16.3,15.6,15,14.3,13.7,13.1,12.6,12.2,11.7,11.2,10.8,10.4,10,9.6,9.3,9,8.7,8.4
Saint Lucia,,,,,,,,,,,,,,,,,,,,,57.5,52.6,47.9,43.7,39.8,36.3,33.4,31,29.3,27.9,26.7,25.8,24.9,24,23.2,22.2,21.3,20.4,19.7,19.1,18.7,18.3,18,17.7,17.3,16.9,16.5,16.1,15.8,15.5,15.2,15.1,14.9,14.9,14.9,14.8,14.8,14.6,14.5,14.3,14.1,13.9,13.6,13.3,13,12.7
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,57.5,58.6,59.6,60.3,60.5,60.1,59,57.3,55,52.1,48.7,45.2,41.5,37.7,34.2,31,28.1,25.8,23.9,22.4,21.2,20.3,19.6,19.2,19,18.9,19,19.1,19.1,19.2,19.2,19.2,19.2,19.2,19.2,19.1,19.2,19.2,19.2,19,18.8,18.6,18.2,17.8,17.4,17,16.6
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,30.5,29.4,28.4,27.5,26.6,25.8,25,24.2,23.4,22.6,21.8,21.1,20.4,19.7,19.1,18.5,17.9,17.5,17.1,16.8,16.5,16.4,16.2,16.1,17,16,16,15.8,15.6,15.4,15
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,11.9,11.2,10.4,9.7,9.1,8.5,7.9,7.4,6.9,6.4,6,5.6,5.3,4.9,4.6,4.3,4.1,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3,2.9,2.8,2.7,2.6
Sao Tome and Principe,,,,,,,,,,,,,,,,62.9,61.1,59.5,58.2,57.4,57.1,57.1,57.5,58,58.5,58.9,59.2,59.4,59.5,59.9,60.4,61.2,62.1,63.3,64.6,66,67.2,68.4,69.2,70,70.5,70.8,70.7,70.2,69.4,68.1,66.6,64.8,62.8,60.7,58.5,56.2,54,51.8,49.6,47.5,45.6,43.9,42.4,41,39.8,38.7,37.5,36.6,35.5,34.6
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,110.3,104.1,98.5,93.1,88.2,83.4,79,74.8,70.7,66.8,63.1,59.4,55.9,52.3,48.8,45.2,41.8,38.5,35.5,32.8,30.3,28.2,26.4,24.8,23.4,22.1,21.1,20.2,19.4,18.7,18.2,17.6,17.2,16.8,16.4,16,15.5,15.1,14.7,14.2,13.8,13.3,12.9,12.5
Senegal,142.3,140.2,138.1,136,134,132,130.2,128.8,127.6,126.8,126.3,126,126,125.9,125.9,125.7,125.3,124.7,124,123.1,121.7,119.8,117.5,114.7,111.5,108,104.3,100.7,97.3,94.3,91.7,89.5,87.4,85.4,83.2,80.8,78.1,75.5,73.2,71.5,70.3,69.7,69.6,69.9,70.3,70.8,71.2,71.2,70.9,70,68.5,66.4,63.9,61.3,58.8,56.3,54,51.9,50,48.3,46.7,45.3,44.1,43.1,42.3,41.7
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,33.5,32.5,31.1,29.1,26.8,24.5,22.3,20.9,19.9,18.8,17,15.1,13.3,12,11.4,10.9,10.6,10.1,9.2,8.3,7.7,7.3,7.1,7,6.8,6.6,6.4,6.2,6,6,5.9
Seychelles,83.7,83,82.2,81.3,80.3,79.2,78.1,77,75.9,74.8,73.6,72.3,70.9,69.5,67.8,66,64,61.8,59.3,56.8,54.1,51.4,48.6,45.8,42.8,39.7,36.6,33.5,30.5,27.8,25.3,23.2,21.4,19.8,18.6,17.5,16.7,15.9,15.3,14.7,14.2,13.7,13.3,13,12.7,12.5,12.3,12.2,12.2,12.2,12.3,12.3,12.3,12.3,12.3,12.3,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.1,11.9,11.7
Sierra Leone,,,,,,,,,,,223.6,220.5,217.5,214.2,211,207.6,204.2,200.8,197.3,194.1,191,188,185.2,182.6,180,177.5,175.3,173.2,171.2,169.2,167.3,165.6,164.1,162.8,161.5,160.4,159.4,158.3,157.6,157,156.5,156.1,155.7,155.2,154.5,153.4,152,150.1,148.1,145.8,143.3,140.5,137.7,134.6,131.4,128.1,124.5,120.5,116.2,111.7,107,102.3,97.9,93.8,90.2,87.1
Singapore,,,,,54.1,50.5,47.2,44.1,41.3,38.4,35.5,32.9,30.8,29.3,28.3,27.3,26.4,25.3,24.1,22.9,22,21,19.6,17.8,16,14.3,13,12.3,12.3,12.3,12,11.4,10.7,10,9.4,8.8,8.4,7.9,7.4,6.7,6.2,5.5,5,4.6,4.3,4.1,3.9,3.8,3.6,3.4,3.1,2.9,2.6,2.5,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1
Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,22.2,21.3,20.3,19.4,18.6,17.7,17,16.2,15.6,15,14.3,13.7,13.1,12.6,12,11.6,11,10.6,10.2,9.8,9.5,9.1,8.8,8.4,8.2,7.8,7.6,7.3,7,6.8,6.5,6.3,6.1,5.8
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,14.6,13.8,13.1,12.3,11.5,10.8,10.1,9.4,8.8,8.2,7.7,7.1,6.6,6.2,5.8,5.4,5.2,4.8,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.2,3,2.8,2.7,2.6,2.4,2.3,2.2,2.1
Solomon Islands,,,,,,,,,,,131.8,125.4,119.3,113.7,108.4,103.3,98.2,92.8,87.3,81.9,76.5,71.4,66.8,62.6,58.7,55.1,51.9,48.9,46.3,43.9,41.9,40.2,38.8,37.6,36.5,35.6,34.8,34.1,33.5,32.8,32.2,31.6,30.9,30.3,29.7,29.1,28.7,28.3,27.9,27.6,27.4,27.2,27.2,27.2,27.3,27.5,27.6,27.6,27.3,27,26.6,26.1,25.5,24.9,24.2,23.6
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.2,112.1,111.5,111.2,110.9,110.5,109.7,108.4,106.8,105.8,105.4,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,105.3,104.9,103.9,102.2,100,97.8,95.1,92.6,90.1,87.4,85
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,91.1,86.6,82.6,78.6,74.9,71.4,68,65,62.2,59.6,57.3,55.1,53.2,51.4,49.8,48.5,47.4,46.7,46.4,46.6,47.2,48.2,49.4,50.9,52.2,53.2,54,54.5,54.7,54.1,52.8,51.5,50,48.6,46.6,41.1,38.2,37.1,36.8,35.3,34.4,33.6
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.1,174.9,172.9,171.1,168.8,166.2,163.8,160.9,158.2,155.4,152.5,149.7,146.7,143.3,139.8,136.1,132,127.9,123.8,119.2,114.4,109.5,104.5,99.7,95,90.6,86.4,82.4,78.9,75.7,73.1,70.6,68.3,66.1,64,62,60.3
Spain,90.5,80.7,73,67.4,64,61.9,60,57.4,54.5,51.1,47.7,44.4,41.7,39.3,37.3,35.6,33.9,32.1,30.1,27.8,25.5,24,22.6,21.3,20,20.4,20.4,19.7,18.4,16.8,15.3,14.1,13.2,12.6,12,11.4,10.9,10.4,10.1,9.7,9.3,8.8,8.5,8,7.5,6.9,6.4,6.1,5.8,5.6,5.4,5.3,5.2,5.1,5,4.8,4.6,4.4,4.2,4.1,3.9,3.8,3.7,3.7,3.6,3.5
Sri Lanka,,94.3,92.6,90.9,89.1,87,84.5,81.8,78.8,75.7,72.7,69.8,67.1,64.6,62.4,60.4,58.6,57,55.7,54.6,53.6,52.7,51.9,51,50,48.7,47.3,45.6,43.7,41.6,39.4,36.8,34.1,31.2,28.2,25.2,22.6,20.5,19.2,18.4,18.1,18.1,18.2,18,17.7,17.2,16.7,16,15.3,14.6,14,13.6,13.2,13,15.3,12.1,11.4,10.7,10.2,9.7,9.4,9.1,8.9,8.7,8.6,8.4
State of Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,78,73.7,69.8,66,62.5,59.2,56.2,53.3,50.6,48.1,45.6,43.3,41.1,39.1,37.2,35.6,34.1,32.7,31.5,30.4,29.3,28.3,27.3,26.4,25.6,24.9,24.2,23.6,23.1,22.6,22.1,21.7,21.3,20.9,20.5,20.2,19.8,19.4,19,18.5,18
Sudan,,,,120.7,118.7,116.8,114.8,112.9,111,109.2,107.4,105.7,104.1,102.6,101.1,99.8,98.6,97.4,96.4,95.5,94.7,94,93.4,92.7,92,91.3,90.6,89.8,89.1,88.5,87.9,87.3,86.7,86.1,85.4,84.6,83.8,82.8,81.9,80.9,79.9,78.9,77.9,76.9,75.8,74.7,73.6,72.3,70.9,69.4,67.8,66.2,64.6,63,61.4,59.9,58.5,57.1,55.8,54.5,53.3,52.2,51.1,49.9,48.8,47.6
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,46.9,45.9,44.7,43.8,42.8,41.8,40.7,39.7,38.6,37.5,36.5,35.4,34.3,33.3,32.2,31.2,30.2,29.2,28.2,27.4,26.6,25.8,25,24.3,23.5,22.7,22.1,21.4,20.8,20.1,19.5,19
Swaziland,160.1,157.8,155.9,154.3,152.3,150.5,148.8,147,145.4,143.6,141.7,140.1,138.1,136,133.7,131.3,128.9,126.5,124.1,121.7,119.3,116.6,113.4,109.7,105.8,101.6,97.7,93.9,90.4,87.2,83.8,80.3,76.5,72.7,68.9,65.3,62,59.4,57.5,56.3,56,56.7,58.6,61.4,64.9,68.7,72.5,76,79.1,81.8,84,85.4,85.9,85.9,84.8,83,76.8,74.7,73.2,65.8,59.1,53.6,51.5,48.4,45.8,44.5
Sweden,22.1,21,20,19.1,18.4,17.8,17.5,17.1,16.9,16.6,16.3,16,15.6,15,14.4,13.7,13,12.6,12.1,11.7,11.3,10.9,10.4,9.8,9.2,8.7,8.3,8,7.6,7.4,7.2,6.9,6.8,6.6,6.5,6.4,6.3,6.2,6.2,6.1,5.8,5.5,5.1,4.8,4.4,4,3.8,3.6,3.5,3.4,3.4,3.4,3.3,3.2,3.1,3,2.8,2.7,2.6,2.5,2.5,2.4,2.4,2.4,2.4,2.4
Switzerland,31.3,30.2,29.1,28.1,27,25.8,24.7,23.6,22.8,22.1,21.6,21.2,20.7,20.1,19.3,18.4,17.6,16.9,16.2,15.6,15,14.3,13.6,12.8,12,11.2,10.4,9.8,9.2,8.7,8.4,8.1,7.8,7.6,7.4,7.3,7.2,7.1,7,6.8,6.7,6.4,6.1,5.8,5.5,5.2,5,4.9,4.8,4.7,4.6,4.7,4.6,4.4,4.4,4.3,4.2,4.1,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4
Syrian Arab Republic,,,,178.6,168.5,159.1,150.2,142.4,135.1,128.2,121.8,116,110.6,105.6,100.8,96.2,91.7,87.4,83.2,79.2,75.3,71.7,68.2,65,62,59.1,56.4,53.9,51.5,49.1,46.9,44.8,42.7,40.8,39.1,37.4,35.8,34.3,33,31.6,30.4,29.2,28,26.8,25.7,24.6,23.6,22.6,21.6,20.7,19.8,19,18.2,17.5,16.8,16.1,15.4,14.8,14.2,13.7,13.2,12.8,12.6,12.1,11.7,11.1
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,116,112.8,109.4,106.7,104.3,102.5,101.3,100.6,100.4,100.4,100,99,97.3,94.9,91.9,88.6,86,84.8,85,86.9,90.1,93,94.1,93,90.4,87,83,78.8,74.3,69.7,65.3,61,57.3,54.1,51.4,49.2,47.4,46,44.7,43.3,42.1,40.9,39.7,38.5
Thailand,140.7,136.1,131.8,127.5,123.4,119.5,115.9,112.3,108.9,105.6,102.2,99,95.8,92.7,89.7,86.8,83.8,80.8,77.8,74.8,71.8,68.7,65.8,62.9,60.2,57.6,55.2,52.9,50.8,48.9,47,45.1,43.4,41.6,40,38.3,36.7,35.1,33.5,31.9,30.3,28.8,27.3,26,24.8,23.7,22.7,21.7,20.8,19.9,19.1,18.3,17.5,16.7,16,15.3,14.6,14,13.4,12.9,12.5,12,11.6,11.2,10.9,10.5
The former Yugoslav Republic of Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6,50.2,48.3,46.2,45,44.3,42.9,39.7,35.9,33,31.5,30.1,27.9,24.9,22,19.5,17.5,16.1,15,14.2,13.5,12.8,12.6,12.4,12.1,11.6,11,10.4,9.6,8.7,7.5,6.5,5.8,5.2,4.8
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.9,149.6,143.5,137.6,132,126.8,121.7,116.7,112,107.3,102.9,98.5,94.4,90.3,86.3,82.4,78.6,74.8,71,67.4,63.9,60.7,57.8,55.3,53.1,51.1,49.3,47.6,46.1,44.7
Togo,193.4,190.1,186.9,183.8,180.7,177.7,174.6,171.5,168.5,165.4,162.4,159.4,156.4,153.5,150.5,147.7,144.7,141.8,138.8,135.8,132.8,130,127.2,124.4,121.8,119.2,116.6,114.1,111.7,109.2,106.9,104.8,102.7,100.7,98.9,97.1,95.5,94,92.6,91.4,90.2,89,87.9,86.8,85.5,84.2,82.8,81.2,79.6,77.9,76.2,74.4,72.6,70.8,69.1,67.4,65.7,64.1,62.5,60.9,59.3,57.9,56.5,55,53.6,52.3
Tonga,,,,,,,,,,,,,,60.4,57,53.8,50.7,47.8,44.9,42.1,39.6,37.4,35.3,33.5,31.9,30.4,29,27.7,26.6,25.5,24.6,23.7,23,22.4,21.9,21.4,20.9,20.5,19.9,19.3,18.7,18,17.4,16.9,16.5,16.2,15.9,15.7,15.5,15.3,15.1,14.8,14.6,14.4,14.3,14.3,14.4,14.5,14.6,14.8,15,15,15,14.9,14.7,14.4
Trinidad and Tobago,,,,71,68.8,66.7,64.5,62.5,60.4,58.4,56.6,54.7,53.1,51.5,50.1,48.8,47.7,46.7,45.7,44.8,43.9,43.1,42.2,41.3,40.4,39.5,38.5,37.4,36.3,35.3,34.3,33.3,32.3,31.4,30.5,29.8,29,28.4,27.8,27.3,26.9,26.5,26.2,25.9,25.7,25.6,25.5,25.5,25.4,25.4,25.3,25.3,25.1,24.7,24.3,23.8,23.3,22.8,22.2,21.6,21,20.4,19.7,19.2,18.7,18.2
Tunisia,,,,,,,,,,,,,178.7,170.9,163.2,155.7,148.4,141.4,134.8,128.4,122.2,116.4,110.9,105.4,99.9,94.2,88.6,83.2,78.1,73.4,69.2,65.5,62.2,59.2,56.4,53.9,51.6,49.5,47.6,45.9,44.3,42.8,41.2,39.6,37.8,35.9,33.9,31.9,29.9,28.1,26.3,24.7,23.3,22,20.7,19.6,18.5,17.5,16.6,15.7,14.9,14.2,13.6,13.1,12.6,12.1
Turkey,,,,191.4,188,184.6,181.2,177.8,174.3,170.3,166,161.6,157.1,152.6,148.2,144.1,140.2,136.6,133.1,129.6,126.2,122.8,119.3,115.9,112.4,108.8,105.2,101.5,97.7,94,90.2,86.4,82.6,78.8,75.1,71.5,68.1,64.8,61.6,58.6,55.8,53.1,50.5,48,45.5,43.1,40.8,38.5,36.3,34.2,32.1,30.2,28.3,26.5,24.8,23.2,21.7,20.2,18.9,17.6,16.4,15.3,14.2,13.2,12.3,11.6
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2,102.8,99.6,96.5,93.4,90.3,87.3,84.4,81.7,79.2,76.9,75,73.5,72.5,72,71.9,71.9,71.9,71.7,71.2,70.4,69.2,67.8,66.1,64.4,62.7,61.1,59.4,57.8,56.2,54.7,53.2,51.7,50.4,48.9,47.6,46.2,45,43.7
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,59.5,57.2,55.2,53.3,51.6,50.2,48.9,47.9,47,46.4,45.9,45.5,45.2,44.9,44.4,43.9,43.2,42.4,41.5,40.4,39.3,38,36.7,35.4,34.3,33.2,32.3,31.5,30.7,30,29.3,28.5,27.7,27,26.3,25.6,24.9,24.1,23.4,22.8
Uganda,,,,,151.8,148.3,145.1,141.5,138.3,135.3,132.3,129.6,127.3,125,122.9,120.9,119,117.2,115.5,114.2,113.5,113.2,113.7,114.7,116.3,118.4,120.9,123.3,125.6,127.2,127.7,127.1,125,122.1,119.3,117.2,115.7,114.7,114,113,111.4,109.3,106.8,104.5,102.5,101,99.6,98.1,96,93.4,90,86,81.6,76.9,72.2,67.6,63.4,59.2,55.4,52.3,49.5,46.3,42.5,41.6,39.1,37.7
Ukraine,,,,,,,,,,,,,,,,,,,,,,27.9,27,26.2,25.5,25,24.6,24.2,23.8,23.4,23,22.4,21.7,20.9,20.1,19.3,18.6,17.9,17.3,16.9,16.7,16.7,16.8,17,17.3,17.5,17.5,17.4,17,16.5,15.8,15.1,14.3,13.6,13,12.5,12,11.6,11.1,10.6,10.1,9.6,9.1,8.6,8.1,7.7
United Arab Emirates,,,,,,,,,,,137.3,130.5,124,117.4,111,104.4,97.5,90.6,83.8,77.2,70.9,65.1,59.6,54.7,50.2,45.9,41.9,38.2,34.8,31.7,28.9,26.4,24.2,22.3,20.7,19.3,18,16.9,15.9,15,14.1,13.4,12.8,12.2,11.7,11.2,10.8,10.5,10.1,9.8,9.6,9.3,9.1,8.9,8.7,8.4,8.2,8,7.8,7.6,7.3,7,6.7,6.4,6.1,5.9
United Kingdom,31.6,30.3,29,27.7,26.6,25.5,24.7,24.1,23.6,23.3,22.9,22.5,22,21.4,20.8,20.1,19.6,19.1,18.7,18.4,18,17.7,17.2,16.6,16,15.4,14.7,14.1,13.4,12.7,12,11.4,10.8,10.4,10,9.7,9.5,9.2,8.8,8.4,7.9,7.4,7,6.6,6.3,6.1,5.9,5.8,5.8,5.7,5.6,5.4,5.3,5.3,5.2,5.1,5,4.9,4.7,4.6,4.4,4.2,4.1,3.9,3.7,3.5
United Republic of Tanzania,,154.5,153.2,152.1,151,149.9,148.8,147.8,146.7,145.5,144.3,143,141.9,140.5,139,137.3,135.4,133.5,131.4,129.5,127.6,125.8,124,122.1,120.2,118.2,116.1,114,111.9,110.2,108.9,108.1,107.6,107.4,107,106.4,105.4,104.2,102.8,101.5,100.4,99.6,98.9,98.1,97.1,95.8,93.8,91.4,88.2,84.5,80.3,75.9,71.4,67,62.7,58.7,55.2,51.5,48.3,45.6,42.4,40.4,38.8,37.6,36.2,35.2
United States,32.5,31.6,30.7,29.9,29.1,28.5,27.8,27.3,26.9,26.4,25.9,25.4,24.9,24.4,23.8,23.3,22.7,22,21.3,20.6,19.9,19.1,18.3,17.5,16.7,16,15.2,14.5,13.8,13.2,12.6,12.1,11.7,11.2,10.9,10.6,10.4,10.2,10,9.7,9.4,9.1,8.8,8.5,8.2,8,7.7,7.5,7.3,7.2,7.1,7,6.9,6.8,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.1,5.9,5.7,5.6
